motor_name,position,velocity,torque,temperature,mode,fault,enabled
SpL,-0.3831330510414282,0.04133669031815046,-0.001831082627603564,29.0,0,0,0
SrL,0.307327397573815,-0.02851911192492551,-0.001831082627603564,29.0,0,0,0
SwL,-0.6414080018310838,0.08747997253376028,-0.000915541313801782,30.0,0,0,0
EpL,-0.5958021286335553,-0.12785534447241886,-0.000915541313801782,32.0,0,0,0
WwL,0.0034488150451794652,0.014099336232547444,-0.00025940337224383825,32.0,0,0,0
WpL,-0.9089918166783271,0.019470511940184565,-0.00025940337224383825,32.0,0,0,0
WrL,0.0638847333485921,-0.05035477225909801,-0.00025940337224383825,32.0,0,0,0
AgL,2.0601586938277254,-0.0329670329670364,-0.00879120879120876,33.0,0,0,0
