motor_name,position,velocity,torque,temperature,mode,fault,enabled
SpL,-0.07048942549782418,-0.04646372167544044,-0.001831082627603564,27.0,0,0,0
SrL,0.0936556191348131,0.03300526436255424,-0.001831082627603564,27.0,0,0,0
SwL,0.22938334468582955,-0.13041886015106385,-0.000915541313801782,27.0,0,0,0
EpL,-1.5356510643167782,0.050308995193407924,-0.000915541313801782,29.0,0,0,0
WwL,0.12467761043717038,-0.04498359655146089,-0.00025940337224383825,29.0,0,0,0
WpL,-0.15097487916402486,-0.0006713969634546402,-0.00025940337224383825,30.0,0,0,0
WrL,-2.227812222476539,-0.0785534447241929,-0.00025940337224383825,30.0,0,0,0
