motor_name,position,velocity,torque,temperature,mode,fault,enabled
SpR,0.02209713893339501,0.022110322728313037,-0.001831082627603564,27.0,0,0,0
SrR,0.01985202563515743,0.03685053788052173,-0.001831082627603564,27.0,0,0,0
SwR,-0.1544709773403509,-0.002243076218814366,-0.000915541313801782,29.0,0,0,0
EpR,1.6088958571755554,0.049668116273746676,-0.000915541313801782,30.0,0,0,0
WwR,-0.03576635385671734,-0.03692683299000521,-0.00025940337224383825,31.0,0,0,0
WpR,-0.029587434195466895,-0.10675211718928779,-0.00025940337224383825,31.0,0,0,0
WrR,-2.227075074387732,0.12286564431219915,-0.00025940337224383825,32.0,0,0,0
