motor_name,position,velocity,torque,temperature,mode,fault,enabled
SpL,0.01045266651407643,0.037491416800182975,-0.016479743648432077,31.0,2,0,1
SrL,-0.09393055619134896,0.06825360494392285,-0.001831082627603564,31.0,2,0,1
SwL,1.5064345250629423,0.027237354085603016,-0.008239871824216038,33.0,2,0,1
EpL,0.07628576333257,0.09773403524834023,0.01373311970702673,35.0,2,0,1
WwL,1.5747227907833343,-0.04364080262455161,0.052658884565499164,35.0,2,0,1
WpL,0.053490215823391196,0.04901197833218873,0.015304798962386457,36.0,2,0,1
WrL,-0.009768734264133522,0.019470511940184565,0.0007782101167315147,36.0,2,0,1
AgL,2.6392385748073544,-0.010989010989014503,-0.00293040293040292,33.0,1,0,1
SpR,-0.002837628747997237,-0.005447470817120603,0.020141908903639205,30.0,2,0,1
SrR,0.08238075074387574,-0.012497138933394325,0.03112840466926059,31.0,2,0,1
SwR,-1.6893018310826273,0.03300526436255424,-0.05035477225909801,33.0,2,0,1
EpR,-0.06365163653009853,0.08171206225680905,-0.010070954451819603,35.0,2,0,1
WwR,-1.4087204868545697,0.062439917601281536,-0.0012970168612191912,35.0,2,0,1
WpR,-0.05490581368734166,-0.09466697184710426,-0.007003891050583633,36.0,2,0,1
WrR,-0.00634630350194567,-0.024841687647821686,0.004928664072632927,37.0,2,0,1
AgR,2.2775997558556504,-0.010989010989014503,-0.00293040293040292,33.0,1,0,1
