motor_name,position,velocity,torque,temperature,mode,fault,enabled
SpL,0.1613087663080801,0.052872510872052914,-0.001831082627603564,26.0,0,0,0
SrL,0.11489173723964186,0.10414282444495271,-0.001831082627603564,26.0,0,0,0
SwL,0.5249727626459144,0.006729228656443098,-0.000915541313801782,27.0,0,0,0
EpL,-1.2979505607690545,0.03813229571984422,-0.000915541313801782,29.0,0,0,0
WwL,-0.0535138475623711,0.09466697184710426,-0.00025940337224383825,28.0,0,0,0
WpL,7.474867933165484,-0.16852063782711468,-0.00025940337224383825,30.0,0,0,0
WrL,-2.2282092011902037,0.06646829938200938,-0.00025940337224383825,31.0,0,0,0
