motor_name,position,velocity,torque,temperature,mode,fault,enabled
SpL,-0.08851918059052395,-0.0432593270771342,-0.001831082627603564,26.0,0,0,0
SrL,-0.02334598306248528,0.05928130006866539,-0.001831082627603564,26.0,0,0,0
SwL,0.03374878461890519,0.02339208056763553,-0.000915541313801782,27.0,0,0,0
EpL,0.03830819409475785,-0.14515907530327254,-0.000915541313801782,28.0,0,0,0
WwL,0.011895738155185055,-0.06378271152819082,-0.00025940337224383825,28.0,0,0,0
WpL,0.01397819934364719,0.03826962691691449,-0.00025940337224383825,28.0,0,0,0
WrL,0.03741551842526977,-0.0020141908903639205,-0.00025940337224383825,28.0,0,0,0
AgL,0.2950713359273678,-0.010989010989014503,-0.00879120879120876,30.0,0,0,0
SpR,0.08155696955825138,-0.04710460059510169,-0.001831082627603564,26.0,0,0,0
SrR,0.02023563744563995,0.07786678873884156,-0.001831082627603564,26.0,0,0,0
SwR,-0.03516770428015562,-0.008010986495765593,-0.000915541313801782,27.0,0,0,0
EpR,-0.039484092469673104,0.0701762417029066,-0.000915541313801782,28.0,0,0,0
WwR,1.663250354772259,0.10003814755474139,-0.00025940337224383825,28.0,0,0,0
WpR,-0.034574387731746765,-0.0060425726710917615,-0.00025940337224383825,28.0,0,0,0
WrR,0.047742961776150096,0.07586785687037434,-0.00025940337224383825,29.0,0,0,0
AgR,0.02613107499809253,-0.010989010989014503,-0.00879120879120876,29.0,0,0,0
