motor_name,position,velocity,torque,temperature,mode,fault,enabled
SpR,0.1966405127031354,-0.009292744335088088,-0.001831082627603564,28.0,0,0,0
SrR,-0.1823113984893564,-0.05415426871137541,-0.001831082627603564,29.0,0,0,0
SwR,0.5594306019684135,0.03941405355916672,-0.000915541313801782,30.0,0,0,0
EpR,0.1722696269169144,-0.020187685969329294,-0.000915541313801782,31.0,0,0,0
WwR,0.22431499037134373,0.03155565728236809,-0.00025940337224383825,31.0,0,0,0
WpR,1.0199744792858776,0.06781109330891866,-0.00025940337224383825,31.0,0,0,0
WrR,-0.05813389791714454,0.03558403906309593,-0.00025940337224383825,32.0,0,0,0
AgR,2.9837109941252766,0.010989010989014503,-0.00293040293040292,31.0,0,0,0
