# recorded_at: 02_33_17_16_05_26
# replay_hz: 30.0
timestamp,SpL_position,SpL_velocity,SpL_torque,SpL_temperature,SpL_mode,SpL_fault,SpL_enabled,SrL_position,SrL_velocity,SrL_torque,SrL_temperature,SrL_mode,SrL_fault,SrL_enabled,SwL_position,SwL_velocity,SwL_torque,SwL_temperature,SwL_mode,SwL_fault,SwL_enabled,EpL_position,EpL_velocity,EpL_torque,EpL_temperature,EpL_mode,EpL_fault,EpL_enabled,WwL_position,WwL_velocity,WwL_torque,WwL_temperature,WwL_mode,WwL_fault,WwL_enabled,WpL_position,WpL_velocity,WpL_torque,WpL_temperature,WpL_mode,WpL_fault,WpL_enabled,WrL_position,WrL_velocity,WrL_torque,WrL_temperature,WrL_mode,WrL_fault,WrL_enabled
0.3373,-0.07039276722362153,0.11119249256122643,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.003524834058136861,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.06312657358663287,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,0.02339208056763553,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,0.06646829938200938,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.11078049897001563,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.0651255054551001,-0.00025940337224383825,32.0,0,0,0
0.3707,-0.07077637903410405,0.03685053788052173,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,0.0016021972991531186,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.09709315632867899,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,0.10606546120393645,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.030212863355458808,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.06378271152819082,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.04364080262455161,-0.00025940337224383825,32.0,0,0,0
0.4045,-0.07039276722362153,-0.0009613183794918712,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.0701762417029066,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.05928130006866539,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,-0.022110322728313037,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.07318226901655578,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.06378271152819082,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.058411535820553695,-0.00025940337224383825,32.0,0,0,0
0.4379,-0.07039276722362153,-0.09260700389105025,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.00865186541542684,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.06312657358663287,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.0932478828107115,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.024841687647821686,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.028870069428549527,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.020813305867093845,-0.00025940337224383825,32.0,0,0,0
0.4713,-0.07039276722362153,0.045181963836117944,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.05094987411306917,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.0009613183794918712,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,0.02082856488899054,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,0.08795300221255786,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.04901197833218873,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.003356984817273201,-0.00025940337224383825,32.0,0,0,0
0.5048,-0.07039276722362153,0.0016021972991531186,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.05094987411306917,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.08299382009613154,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.024673838406958026,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,0.08795300221255786,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.010070954451819603,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.011413748378728883,-0.00025940337224383825,32.0,0,0,0
0.5382,-0.07039276722362153,-0.052231631952391666,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.08427557793545404,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.04646372167544044,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,0.02595559624628052,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.09600976577401354,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.0020141908903639205,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.028870069428549527,-0.00025940337224383825,32.0,0,0,0
0.5716,-0.07039276722362153,-0.1054245822842752,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.003524834058136861,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.0445410849164567,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.03300526436255424,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.1738918135347518,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.003356984817273201,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.11883726253147131,-0.00025940337224383825,32.0,0,0,0
0.605,-0.07077637903410405,-0.027878233005264264,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.022751201647974284,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.0189059281300068,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.03620965896086048,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.12420843823910843,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.11212329289692491,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.1403219653620198,-0.00025940337224383825,32.0,0,0,0
0.6384,-0.07039276722362153,-0.01377889677271682,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,-0.006729228656443098,-0.001831082627603564,27.0,0,0,0,-0.048526894026093004,-0.06440833142595537,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,0.022110322728313037,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.1806057831692982,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.059754329747462975,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.04229800869764233,-0.00025940337224383825,32.0,0,0,0
0.6718,-0.07039276722362153,0.0028839551384756135,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.08555733577477653,-0.001831082627603564,27.0,0,0,0,-0.048526894026093004,-0.15028610666056252,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,0.10926985580224269,-0.000915541313801782,30.0,0,0,0,-0.05274662394140428,0.057068741893644415,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.16449225604638684,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.07049668116273722,-0.00025940337224383825,32.0,0,0,0
0.7052,-0.07039276722362153,0.0028839551384756135,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,0.0567177843900204,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.06312657358663287,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.07081712062256784,-0.000915541313801782,30.0,0,0,0,-0.05274662394140428,-0.026184481574730967,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.0785534447241929,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.0718394750896465,-0.00025940337224383825,32.0,0,0,0
0.7386,-0.07039276722362153,0.009933623254749335,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.032364385442892996,-0.001831082627603564,27.0,0,0,0,-0.048526894026093004,-0.05607690547035915,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,0.008010986495765593,-0.000915541313801782,30.0,0,0,0,-0.05274662394140428,-0.0718394750896465,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.1255512321660177,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.061097123674372256,-0.00025940337224383825,32.0,0,0,0
0.7721,-0.07039276722362153,0.018265049210345552,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.05607690547035915,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.1663080796520937,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,0.02659647516594177,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.003356984817273201,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.04498359655146089,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.0006713969634546402,-0.00025940337224383825,32.0,0,0,0
0.8055,-0.07039276722362153,0.04582284275577919,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.03364614328221549,-0.001831082627603564,27.0,0,0,0,-0.048526894026093004,-0.20476081483176856,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,0.02659647516594177,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.03155565728236809,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.08661020828564858,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.10138094148165067,-0.00025940337224383825,32.0,0,0,0
0.8389,-0.07039276722362153,-0.027878233005264264,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.05928130006866539,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.011856260013733078,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.10222018768596897,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.03961242084382377,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.0006713969634546402,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.0651255054551001,-0.00025940337224383825,32.0,0,0,0
0.8723,-0.07039276722362153,-0.01121538109407183,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.02851911192492551,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.004806591897459356,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.0932478828107115,-0.000915541313801782,30.0,0,0,0,-0.05274662394140428,-0.015442130159456724,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.04766918440527945,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.10003814755474139,-0.00025940337224383825,32.0,0,0,0
0.9057,-0.07039276722362153,-0.07530327306019657,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.09260700389105025,-0.001831082627603564,27.0,0,0,0,-0.048526894026093004,0.02851911192492551,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,0.06056305790798788,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.053040360112916574,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.11212329289692491,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.06378271152819082,-0.00025940337224383825,32.0,0,0,0
0.9391,-0.07039276722362153,-0.07786678873884156,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.06953536278324535,-0.001831082627603564,27.0,0,0,0,-0.048526894026093004,0.02851911192492551,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,0.05928130006866539,-0.000915541313801782,30.0,0,0,0,-0.05274662394140428,0.0785534447241929,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.16180666819256828,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.06378271152819082,-0.00025940337224383825,32.0,0,0,0
0.9725,-0.07077637903410405,-0.018265049210345552,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.03364614328221549,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.025314717326619274,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.04646372167544044,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,0.0006713969634546402,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.04229800869764233,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.08795300221255786,-0.00025940337224383825,32.0,0,0,0
